optimization_strat,model,accuracy,dpd,model_parameter_string
Optuna,RF,0.7913121361397224,0.060894885007026445,"{'n_estimators': 82, 'max_depth': 4, 'min_samples_split': 3}"
Optuna,RF,0.8007165248544559,0.07351523310124025,"{'n_estimators': 163, 'max_depth': 5, 'min_samples_split': 9}"
Optuna,RF,0.8074339453649798,0.08099762146232314,"{'n_estimators': 179, 'max_depth': 6, 'min_samples_split': 9}"
Optuna,RF,0.8078817733990148,0.09493457884420348,"{'n_estimators': 96, 'max_depth': 6, 'min_samples_split': 5}"
Optuna,RF,0.8132557098074339,0.10057053069132221,"{'n_estimators': 152, 'max_depth': 7, 'min_samples_split': 7}"
Optuna,RF,0.8137035378414689,0.10069900810885796,"{'n_estimators': 86, 'max_depth': 7, 'min_samples_split': 6}"
Optuna,RF,0.8177339901477833,0.10122883533515548,"{'n_estimators': 138, 'max_depth': 7, 'min_samples_split': 4}"
Optuna,RF,0.8275862068965517,0.11200274691540496,"{'n_estimators': 82, 'max_depth': 8, 'min_samples_split': 4}"
Optuna,RF,0.8280340349305867,0.11567970238717862,"{'n_estimators': 98, 'max_depth': 8, 'min_samples_split': 4}"
Optuna,NN,0.8011643528884909,0.08706790208816528,"{'layers': 1, 'units': 53, 'learning_rate': 0.09988429365244332}"
Optuna,NN,0.8047469771607703,0.09485501050949097,"{'layers': 2, 'units': 85, 'learning_rate': 0.0004699624436322648}"
Optuna,NN,0.8069861173309449,0.09997588396072388,"{'layers': 2, 'units': 96, 'learning_rate': 0.01861933340895377}"
Optuna,NN,0.812807881773399,0.11243593692779541,"{'layers': 4, 'units': 32, 'learning_rate': 0.0005339301347565863}"
Optuna,NN,0.8132557098074339,0.11593666672706604,"{'layers': 1, 'units': 59, 'learning_rate': 0.06134037353187547}"
Optuna,NN,0.8204209583519928,0.14350584149360657,"{'layers': 2, 'units': 74, 'learning_rate': 0.08033581470721425}"
Optuna,LR,0.7881773399014779,0.1255713265691299, "{'C': 1.7008021695866808}"
Optuna,LR,0.7895208240035826,0.13082184616364156,"'C': 0.6889367620281636}"
Optuna,LR,0.7899686520376176,0.13318219234774853,"{'C': 9.362048338011848}"
Optuna,LR,0.7904164800716524,0.13384049699158196,"{'C': 0.2774540519206283}"
Optuna,LR,0.7908643081056874,0.13449880163541522,"{'C': 8.34431753095483}"
Optuna,LR,0.7917599641737573,0.13515710627924848,"{'C': 0.06381656061873184}"
Optuna,LR,0.7922077922077922,0.13660219298445087,"{'C': 0.059729469545183066}"
Optuna,LR,0.7922077922077922,0.13660219298445087,"{'C': 0.058856928331692905}"
Optuna,LR,0.7922077922077922,0.13660219298445087,"{'C': 0.06225026047297803}"
Botorch,RF,0.6220331392745185,0.025240847784200382,"{'n_estimators': 21, 'max_depth': 1, 'min_samples_split': 14.032552719116211}"
Botorch,RF,0.7751903269144649,0.05084360521024561,"{'n_estimators': 22, 'max_depth': 3, 'min_samples_split': 5.235397458076477}"
